time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-05 00:00:00+00:00,332,87,55,3
2026-07-06 00:00:00+00:00,338,112,8,1
2026-07-07 00:00:00+00:00,124,52,91,3
2026-07-08 00:00:00+00:00,168,64,45,1
2026-07-09 00:00:00+00:00,129,38,38,3
2026-07-10 00:00:00+00:00,106,47,159,3
2026-07-11 00:00:00+00:00,57,25,134,3
2026-07-12 00:00:00+00:00,68,30,39,2
2026-07-13 00:00:00+00:00,85,46,17,2
2026-07-14 00:00:00+00:00,189,72,13,1
2026-07-15 00:00:00+00:00,36,20,8,2
2026-07-16 00:00:00+00:00,114,36,14,3
2026-07-17 00:00:00+00:00,90,17,4,1
2026-07-18 00:00:00+00:00,6,6,10,2
