time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-27 00:00:00+00:00,66,32,19,1
2026-06-28 00:00:00+00:00,31,17,10,1
2026-06-29 00:00:00+00:00,26,13,10,1
2026-06-30 00:00:00+00:00,77,23,15,2
2026-07-01 00:00:00+00:00,2,2,0,0
2026-07-02 00:00:00+00:00,55,28,0,0
2026-07-03 00:00:00+00:00,178,62,64,1
2026-07-04 00:00:00+00:00,368,122,39,1
2026-07-05 00:00:00+00:00,332,87,55,3
2026-07-06 00:00:00+00:00,338,112,8,1
2026-07-07 00:00:00+00:00,124,52,91,3
2026-07-08 00:00:00+00:00,168,64,45,1
2026-07-09 00:00:00+00:00,129,38,38,3
2026-07-10 00:00:00+00:00,106,47,159,3
